Title,JQI,ai_exposure,wage_median,age_ratio,physical_sustainability,autonomy,employment
Chief Executives,0.8076588297395498,0.0333,86.31,4.77027027027027,0.7580722464358022,0.8173032231265008,200480.0
Lawyers,0.7698456455136204,0.1673,61.54,1.4481327800829875,0.8595724160002676,0.8286693646297045,681010.0
Architectural and Engineering Managers,0.7374709496495052,0.0306,73.25,2.033333333333333,0.7046791100171531,0.7404131536396018,187100.0
Clinical and Counseling Psychologists,0.7315692358221505,0.0591,39.67,2.6666666666666665,0.8543832957578201,0.8767260586439056,58100.0
Podiatrists,0.7262613012065665,0.0,70.11,1.0,0.5833096741317367,0.8676387197878368,8840.0
Optometrists,0.713758162887254,0.0,59.76,1.8888888888888888,0.7284258794463531,0.7457746739026347,38720.0
Nurse Anesthetists,0.6982656634433719,0.0,94.04,1.3333333333333333,0.3904003318720859,0.6908818957547787,43950.0
"Healthcare Diagnosing or Treating Practitioners, All Other",0.6946942966279649,0.0222,48.22,2.5,0.7328126993018806,0.7630474915858256,26250.0
Computer and Information Systems Managers,0.6890790116488895,0.1559,76.45,1.4946236559139785,0.75981917036948,0.7228294738632874,485190.0
Sales Managers,0.6834914361230523,0.0433,61.3,1.0608695652173914,0.8210906629176258,0.8002564492144988,453800.0
Compensation and Benefits Managers,0.6716216699107764,0.0,61.31,3.0,0.8322045355314976,0.7173674748292311,15330.0
Clergy,0.6622835290603051,0.1116,23.9,3.9069767441860463,0.8208186740868295,0.7767132678464123,50790.0
Nurse Midwives,0.6527599535746796,0.052,54.24,3.0,0.4638966470840076,0.7984770314370098,7750.0
Human Resources Managers,0.6511331153890413,0.0,60.69,1.309090909090909,0.7514294369712593,0.7384550399071526,166530.0
Healthcare Social Workers,0.638085706204868,0.0916,29.25,1.0434782608695652,0.6996699780544943,0.7731014551518439,173860.0
Mental Health and Substance Abuse Social Workers,0.6359049315101453,0.0,23.62,1.3333333333333333,0.80293015326652,0.7081133144475921,113810.0
"Architects, Except Landscape and Naval",0.6343351441287342,0.0784,38.55,1.489795918367347,0.741840661902516,0.6377598815505512,100400.0
Purchasing Managers,0.6340033421900239,0.2004,61.13,1.4285714285714286,0.7468630357456403,0.6742149746863749,69310.0
"Managers, All Other",0.6327259978285497,0.0686,59.93,1.6353944562899787,0.7013604641903466,0.7206326198430049,497890.0
General and Operations Managers,0.6319496336855673,0.1378,47.1,1.0678571428571428,0.6947145971313056,0.8536813854379401,2984920.0
Management Analysts,0.6291846753755566,0.2435,44.71,1.3362068965517242,0.8111397382183692,0.7371910888420442,768450.0
Chiropractors,0.6220388544281822,0.0,36.06,1.3888888888888888,0.5415461164222495,0.8001304812158889,35810.0
Judicial Law Clerks,0.6212003611149298,0.1704,24.4,1.5,0.8198570425804939,0.6428903400659775,14800.0
Acupuncturists,0.6196251807609607,0.0,29.12,4.0,0.5665803524622361,0.8040883001032479,7250.0
Librarians and Media Collections Specialists,0.6156224150263585,0.2032,29.42,1.5714285714285714,0.6521975032661645,0.7286478983415876,127790.0
Computer Network Architects,0.6075732683759638,0.1987,57.94,1.5384615384615383,0.7181412195341623,0.627615997537913,168830.0
Atmospheric and Space Scientists,0.6043967996926484,0.038,45.47,3.0,0.7749478045243562,0.6513986976196608,8520.0
Social and Community Service Managers,0.6017463064078769,0.1808,35.58,1.207207207207207,0.7862504226341597,0.7401139049205471,156400.0
Emergency Management Directors,0.6004400989278538,0.0,36.89,9.0,0.6754658897427268,0.7299705361040423,10320.0
Financial Examiners,0.5978125526940223,0.0428,39.14,1.0,0.8623763008589179,0.6118156727647415,60750.0
Medical and Health Services Managers,0.5941745173446629,0.0659,48.72,1.5347222222222223,0.700198614354737,0.6308097427254802,436770.0
Fundraisers,0.5932170237140263,0.0466,29.17,1.1764705882352942,0.826107123583661,0.7275162985408299,82080.0
Bioengineers and Biomedical Engineers,0.5850230498450545,0.1328,46.83,1.0,0.7402539824706592,0.6306731138589978,17190.0
Writers and Authors,0.5824972854486702,0.2462,33.42,1.2075471698113207,0.8327155967958823,0.6501953613561413,49410.0
"Property, Real Estate, and Community Association Managers",0.58125710507851,0.1653,28.47,2.603448275862069,0.7763778323804417,0.7382844383631558,234680.0
"Transportation, Storage, and Distribution Managers",0.5782561325810541,0.0956,47.22,1.011111111111111,0.6561677601412437,0.67922819574896,144640.0
Landscape Architects,0.5777413129371174,0.0,32.67,3.0,0.7990948995055553,0.6610215792685806,17430.0
"Compensation, Benefits, and Job Analysis Specialists",0.5775420304564897,0.0649,30.83,3.4,0.8089901554951731,0.6434435406877091,87750.0
"Mining and Geological Engineers, Including Mining Safety Engineers",0.5699328691019739,0.0,46.68,1.0,0.6682749382854347,0.6475032609084204,7370.0
Cost Estimators,0.5698497303776519,0.0,31.33,1.7307692307692308,0.8286223536292359,0.6307708330887162,208950.0
Editors,0.5678998212960292,0.246,30.46,1.4705882352941178,0.7726646428709859,0.6829255401340267,88780.0
First-Line Supervisors of Non-Retail Sales Workers,0.5667555222479542,0.2295,38.31,1.630681818181818,0.7177005709627007,0.6736214755248568,243920.0
