Title,JQI,ai_exposure,wage_median,age_ratio,physical_sustainability,autonomy,employment
Chief Executives,0.8090580385327165,0.0333,86.31,4.77027027027027,0.763669081608469,0.8173032231265008,200480.0
Lawyers,0.7681752338556682,0.1673,61.54,1.4481327800829875,0.8528907693684586,0.8286693646297045,681010.0
Physicists,0.7624888579019169,0.2727,73.29,,0.8107052412544364,0.7411415449517433,20020.0
"Pediatricians, General",0.7605358501645573,0.0,81.96,,0.6129108770737449,0.8668756499964383,33620.0
Economists,0.7432364336152154,0.2418,50.79,0.5454545454545454,0.9178800423034904,0.7742685301659143,15640.0
Clinical and Counseling Psychologists,0.7360748618850669,0.0591,39.67,2.6666666666666665,0.8724058000094856,0.8767260586439056,58100.0
Industrial-Organizational Psychologists,0.7348137098829305,0.1577,50.63,,0.8887411975791022,0.7847459776476111,610.0
Architectural and Engineering Managers,0.729589461887059,0.0306,73.25,2.033333333333333,0.6731531589673678,0.7404131536396018,187100.0
"Education Administrators, Postsecondary",0.7283562890854306,0.0644,46.59,,0.8122230557059889,0.8646951677498962,155990.0
Statisticians,0.7107778184930561,0.2107,45.95,0.3333333333333333,0.8903533459975547,0.6803251235935823,31370.0
"Psychologists, All Other",0.7104964930413254,0.0,49.47,,0.790834948362045,0.7970183494102185,13800.0
Podiatrists,0.7104165442574886,0.0,70.11,1.0,0.5199306463354252,0.8676387197878368,8840.0
School Psychologists,0.7061767168600183,0.0467,37.88,0.8333333333333334,0.8778177108916061,0.7973011195502908,57110.0
"Political Science Teachers, Postsecondary",0.705116708430432,0.0,,,0.8740443033143167,0.8821828237862231,14060.0
"Law Teachers, Postsecondary",0.7033406727025507,0.0,,,0.8687049249489216,0.8768499841227223,14110.0
Genetic Counselors,0.7010921311595143,0.0123,38.54,,0.8772845173837241,0.7335960781428204,2740.0
Epidemiologists,0.699841667054061,0.0,37.9,,0.8477416683545698,0.7579641786698625,8180.0
Optometrists,0.6978762045981042,0.0,59.76,1.8888888888888888,0.6648980462897539,0.7457746739026347,38720.0
Natural Sciences Managers,0.6970919567647808,0.0613,66.3,0.8,0.684944729443241,0.6818727879116644,74760.0
Sales Managers,0.6941147361445682,0.0433,61.3,1.0608695652173914,0.8635838630036894,0.8002564492144988,453800.0
"Library Science Teachers, Postsecondary",0.6934350830606357,0.018,,,0.8462163707140999,0.8685424708696964,4330.0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.6922258758223705,0.0,,,0.8571677479177408,0.8473082553233237,9040.0
"Foreign Language and Literature Teachers, Postsecondary",0.6901692509868602,0.2403,,,0.8662533085693359,0.8288694347663066,19640.0
Marriage and Family Therapists,0.6867790020698935,0.0,23.98,0.5,0.867023641694662,0.854025422169898,54800.0
Computer and Information Systems Managers,0.6860923601472487,0.1559,76.45,1.4946236559139785,0.7478725643629169,0.7228294738632874,485190.0
Nurse Anesthetists,0.6852360800832292,0.0,94.04,1.3333333333333333,0.3382819984315147,0.6908818957547787,43950.0
"Healthcare Diagnosing or Treating Practitioners, All Other",0.684558654359836,0.0222,48.22,2.5,0.6922701302293648,0.7630474915858256,26250.0
Psychiatrists,0.6844104897511336,0.0,,,0.8114134667683939,0.8548526353802106,25520.0
"Economics Teachers, Postsecondary",0.6839064077235604,0.0,,,0.8587427808276393,0.8120797631637243,11790.0
"Philosophy and Religion Teachers, Postsecondary",0.6829219453857817,0.2197,,,0.8619005171052987,0.8012283089903487,20850.0
"Dentists, General",0.6827334731999588,0.0309,77.1,,0.4450229996367528,0.7521354865374514,108680.0
"Arbitrators, Mediators, and Conciliators",0.6821032749969904,0.2426,23.76,,0.8708223392645829,0.8385490722686189,7320.0
Urban and Regional Planners,0.6815114006013081,0.0959,37.74,0.7,0.8633317772734986,0.7180383110751383,38940.0
"Computer Science Teachers, Postsecondary",0.6783434029448876,0.2414,,,0.8328569998428745,0.8196571870056288,37600.0
Compensation and Benefits Managers,0.677988639695259,0.0,61.31,3.0,0.8576724146694281,0.7173674748292311,15330.0
"Sociology Teachers, Postsecondary",0.6772426062391472,0.0,,,0.8578920382052027,0.7889044078297289,12550.0
"Education Teachers, Postsecondary",0.6767054259458117,0.2621,,,0.8500134627728372,0.7933197080981421,58780.0
"History Teachers, Postsecondary",0.6751174760008701,0.0994,,,0.8157065339837539,0.822026010816379,18590.0
"Communications Teachers, Postsecondary",0.6745405110992021,0.2111,,,0.7967091184740948,0.8398423272827467,27330.0
"Social Work Teachers, Postsecondary",0.6735697969973891,0.0,,,0.8293713998348183,0.8002924946790898,12280.0
Nurse Practitioners,0.6728747730979013,0.0944,58.02,0.864406779661017,0.4858549484780262,0.7763356529553264,234690.0
Speech-Language Pathologists,0.6697321523276433,0.0,38.01,0.46875,0.6861411899431265,0.8079221139297085,147470.0
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.668063793342735,0.0,,,0.7997428866165954,0.8037655378796359,13790.0
"Geography Teachers, Postsecondary",0.6680433780726427,0.0,,,0.8118905928819006,0.8005502550410031,3440.0
Audiologists,0.6668918672670499,0.0,37.96,0.4285714285714285,0.697103453265993,0.8111153068698123,13240.0
Family Medicine Physicians,0.6650124607136231,0.0,,,0.7208748118433803,0.8820714746246662,102930.0
Advertising and Promotions Managers,0.663922448220785,0.1731,61.13,0.32,0.7891713842414505,0.7607506714248924,22520.0
"Biological Science Teachers, Postsecondary",0.6636679959309935,0.2914,,,0.7096009012553038,0.8731318453310498,47690.0
Clergy,0.6613316433158218,0.1116,23.9,3.9069767441860463,0.8170111311088963,0.7767132678464123,50790.0
Petroleum Engineers,0.659577242077302,0.0,62.91,0.4,0.8065838553645883,0.7125196691681535,22100.0
"Physics Teachers, Postsecondary",0.657487015873777,0.0,,,0.7442325861008771,0.8226025313364232,12460.0
Pharmacists,0.6531233945659849,0.0896,61.81,0.6020408163265306,0.5768820368077805,0.6757118867711357,312550.0
"Agents and Business Managers of Artists, Performers, and Athletes",0.6530294604812709,0.118,37.7,0.9333333333333332,0.8620494733146704,0.794679629152717,12480.0
Human Resources Managers,0.6518499540606617,0.0,60.69,1.309090909090909,0.7542967916577412,0.7384550399071526,166530.0
"Financial Specialists, All Other",0.6497433296486205,0.2202,35.21,,0.8094896789152174,0.667754582166673,123200.0
"Educational, Guidance, and Career Counselors and Advisors",0.6491825743016568,0.1182,29.09,0.6593406593406593,0.8415602569248323,0.6862539672972439,296370.0
Neurologists,0.6490896034424691,0.0,,,0.6921308667836489,0.8563258685340536,7120.0
Software Developers,0.6443994700152077,0.288,58.05,0.3329207920792079,0.8587828877387218,0.6203967122424117,1364180.0
Healthcare Social Workers,0.644167872150882,0.0916,29.25,1.0434782608695652,0.7239986418385502,0.7731014551518439,173860.0
Dietitians and Nutritionists,0.6417544583851836,0.1328,29.64,0.75,0.7461744622018203,0.7466963766147661,66690.0
Actuaries,0.640341045411462,0.0539,50.91,0.0,0.9176200766281426,0.6154320015467625,23040.0
"Education Administrators, Kindergarten through Secondary",0.6402346728141998,0.0525,,,0.7005085578334331,0.7978805676472484,274710.0
"Family and Consumer Sciences Teachers, Postsecondary",0.639877676581458,0.0,,,0.7491707978667712,0.7515462112275445,2730.0
Nurse Midwives,0.6390457242096806,0.052,54.24,3.0,0.4090397296240113,0.7984770314370098,7750.0
Purchasing Managers,0.637639485998463,0.2004,61.13,1.4285714285714286,0.7614076109793968,0.6742149746863749,69310.0
Judicial Law Clerks,0.6364032539339342,0.1704,24.4,1.5,0.8806686138565109,0.6428903400659775,14800.0
Mental Health and Substance Abuse Social Workers,0.6355677155491897,0.0,23.62,1.3333333333333333,0.8015812894226978,0.7081133144475921,113810.0
"Architecture Teachers, Postsecondary",0.6345886616676671,0.0,,,0.7124887749258149,0.7623773388325856,5950.0
"Environmental Science Teachers, Postsecondary",0.6342852284736917,0.0232,,,0.697124066278631,0.7793452161123187,5440.0
Computer Hardware Engineers,0.6339095192369792,0.1453,61.62,0.7619047619047619,0.8122584445139478,0.622583054861278,73750.0
"Recreation and Fitness Studies Teachers, Postsecondary",0.6325609272666444,0.1138,,,0.663766889541612,0.8058051880211485,13860.0
Occupational Therapists,0.6303511184161597,0.008,41.14,0.6585365853658537,0.4947923867885065,0.82947887617576,127830.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.6301249707071135,0.0396,,,0.6921532564620083,0.7684261685715488,10250.0
General and Operations Managers,0.6298097851066005,0.1378,47.1,1.0678571428571428,0.686155202815438,0.8536813854379401,2984920.0
"Teaching Assistants, Postsecondary",0.6295438707225262,0.1002,,,0.774631303529168,0.6836237215660398,121290.0
Management Analysts,0.6292602367954142,0.2435,44.71,1.3362068965517242,0.8114419838977999,0.7371910888420442,768450.0
Aerospace Engineers,0.6290592887615619,0.0753,58.78,0.4912280701754385,0.7328660982430114,0.7015349077017451,56640.0
"Biological Scientists, All Other",0.628672312395127,0.2452,39.68,,0.676412246809577,0.6759773193675912,47050.0
Historians,0.6285057548008913,0.028,30.74,,0.719232831628462,0.715885277080021,2910.0
"Chemistry Teachers, Postsecondary",0.6281326120676244,0.2185,,,0.6895822148149282,0.7602108742522219,20260.0
Biochemists and Biophysicists,0.6271722701795451,0.0756,49.17,,0.6087354936537442,0.6436624047200262,35050.0
"Architects, Except Landscape and Naval",0.626548958552233,0.0784,38.55,1.489795918367347,0.7106959195965115,0.6377598815505512,100400.0
"Managers, All Other",0.6244166685872424,0.0686,59.93,1.6353944562899787,0.6681231472251177,0.7206326198430049,497890.0
Physician Assistants,0.6235115718580748,0.0,58.43,0.2153846153846154,0.4079733063508312,0.7025820364715549,132940.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.621464599079564,0.2706,45.6,,0.7706997158139276,0.7575568403930467,266160.0
Dermatologists,0.6212558840400265,0.0,,,0.5458974208424852,0.8912244368654472,9230.0
"Anthropology and Archeology Teachers, Postsecondary",0.6207830262105875,0.0236,,,0.7147694443015689,0.7052497144829735,5010.0
"Ophthalmologists, Except Pediatric",0.6203614895365271,0.0,,,0.6119458619922578,0.8131477134763253,11610.0
"Medical Scientists, Except Epidemiologists",0.6200559778394512,0.0381,45.82,,0.6505440705880413,0.5829942398228216,108550.0
"Forestry and Conservation Science Teachers, Postsecondary",0.6189123699014706,0.0206,,,0.5894055256792461,0.8280136369768097,1180.0
Real Estate Brokers,0.6181626981741278,0.2609,29.81,,0.8258467787895483,0.8454706395607486,48460.0
"Agricultural Sciences Teachers, Postsecondary",0.6180530150358133,0.0,,,0.5973585145842703,0.8175621957453071,8570.0
"Therapists, All Other",0.6155955600464704,0.0402,28.61,0.4642857142857143,0.630053411958752,0.7648754807866676,13490.0
Art Directors,0.6153704462890446,0.2098,48.51,,0.8368003524706117,0.6296321431767758,42080.0
Atmospheric and Space Scientists,0.6138915575741184,0.038,45.47,3.0,0.8129268360502361,0.6513986976196608,8520.0
Animal Scientists,0.613737740558112,0.0,31.29,,0.6318593535819488,0.7309608641413836,2790.0
Prosthodontists,0.6134801719615904,0.0,48.54,,0.3957005160276633,0.800907859865608,790.0
Labor Relations Specialists,0.6132156185543703,0.0,37.03,,0.8497053055673497,0.7482695382491056,63810.0
Veterinarians,0.6104646567728701,0.0926,48.26,0.9166666666666666,0.3876482595136986,0.785311039391565,77260.0
Anthropologists and Archeologists,0.6092735014978434,0.1354,29.76,,0.6741288804505838,0.6900043942355436,6650.0
Acupuncturists,0.608920388354139,0.0,29.12,4.0,0.5237611828349491,0.8040883001032479,7250.0
"Social Scientists and Related Workers, All Other",0.6089196401434771,0.0327,40.59,,0.8448650291116633,0.6878500545724342,34330.0
"Physicians, All Other",0.608845913122566,0.0297,,,0.5721818228038373,0.8068494470089009,256670.0
Financial Examiners,0.6083588130661933,0.0428,39.14,1.0,0.904561342347602,0.6118156727647415,60750.0
Insurance Underwriters,0.6073009313146858,0.0625,36.73,0.85,0.8611597765193462,0.7136810895491505,107690.0
Librarians and Media Collections Specialists,0.6071073161721745,0.2032,29.42,1.5714285714285714,0.6181371078494284,0.7286478983415876,127790.0
"Art, Drama, and Music Teachers, Postsecondary",0.6044021672434858,0.2142,,,0.5877568606710437,0.7629829937004912,94720.0
Loan Officers,0.602692955466455,0.1857,30.47,,0.8415609670749018,0.7674806580316194,340170.0
"Geoscientists, Except Hydrologists and Geographers",0.6018115846505803,0.043,40.23,,0.5728868560955694,0.6605241059344489,23620.0
Budget Analysts,0.6011070015856801,0.0672,38.43,0.6842105263157895,0.8216940114867208,0.7020265274475992,47440.0
"Electronics Engineers, Except Computer",0.6006097868558101,0.0999,50.39,,0.7098045683363876,0.6883513760263804,107170.0
Computer Network Architects,0.5992034664962512,0.1987,57.94,1.5384615384615383,0.6846620120153122,0.627615997537913,168830.0
Farm and Home Management Educators,0.5983207305770172,0.0,24.03,,0.5848956373700311,0.807194356925898,10620.0
Orthodontists,0.5980355464427267,0.0,,,0.5791869667027231,0.7498422730103761,5140.0
Hydrologists,0.5970795503649893,0.0748,40.4,,0.5864903618065811,0.6289714861314523,6390.0
Chemical Engineers,0.5965865484903253,0.0,50.75,0.6551724137931034,0.6943398512186446,0.6837122857252446,24180.0
Web and Digital Interface Designers,0.596169054398174,0.249,38.41,0.391304347826087,0.8876653528014553,0.6272009570201964,82380.0
Social and Community Service Managers,0.5957018689836673,0.1808,35.58,1.207207207207207,0.7620726729373215,0.7401139049205471,156400.0
Physical Therapists,0.5956086092688037,0.0174,45.97,0.504424778761062,0.3598755573004301,0.7752809923285482,225350.0
Set and Exhibit Designers,0.5952048555409439,0.0,26.37,,0.6202634741717661,0.7173073632212322,6850.0
