Title,ai_exposure,cognitive_share,physical_share,task_residual_risk,JQI,employment
Curators,0.4123,0.7277794669099015,0.6337325349301396,0.1901599861491165,0.6090063057752917,11030.0
Medical Records Specialists,0.6674,,,0.16685,0.3771385989450173,180570.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6279,0.483632309719266,0.5384231536926148,0.163504427508619,0.5491193975474014,1242490.0
Data Entry Keyers,0.6707,0.5470761122935035,0.399700598802395,0.1466597219364857,0.3410472271022948,147170.0
Financial and Investment Analysts,0.5716,,,0.1429,0.4841567470347808,291880.0
Chemical Technicians,0.3148,0.6371744197831152,0.6252495009980039,0.1254141126280933,0.3254371761094193,57690.0
Computer User Support Specialists,0.4685,0.6445728184858619,0.3857285429141716,0.1164832178149022,0.4725255507399628,654310.0
"Health Specialties Teachers, Postsecondary",0.3045,0.7321374277896011,0.4895209580838322,0.1091317692981321,0.6413055935461889,191830.0
Chemists,0.2614,0.7102462754636667,0.5114770459081835,0.094959997912354,0.5184757615881758,80600.0
Reservation and Transportation Ticket Agents and Travel Clerks,0.2467,0.5382588426066686,0.6996007984031934,0.0928989101658848,0.2708539905797632,100860.0
Dietetic Technicians,0.2446,0.6063646498429105,0.5793413173652694,0.0859260464476944,0.3710391004881924,21610.0
"Biological Science Teachers, Postsecondary",0.2914,0.8998682476943344,0.2974051896207584,0.0779860668649525,0.6636679959309935,47690.0
Network and Computer Systems Administrators,0.3373,0.6132563089084826,0.374750499001996,0.077517647754051,0.5588087953799019,316760.0
Health Information Technologists and Medical Registrars,0.3063,,,0.076575,0.3740315548552985,37900.0
"Art, Drama, and Music Teachers, Postsecondary",0.2142,0.6207560555386642,0.5713572854291417,0.0759710625875036,0.6044021672434858,94720.0
"Biological Scientists, All Other",0.2452,0.8317371034762338,0.3670159680638721,0.0748499477203492,0.628672312395127,47050.0
Information Security Analysts,0.4859,0.6901793858315595,0.2205588822355289,0.073966221706784,0.6075520671731834,157220.0
"Engineering Teachers, Postsecondary",0.3589,0.811087463261376,0.2534930139720558,0.0737916365303243,0.6542676603559919,35440.0
"Middle School Teachers, Except Special and Career/Technical Education",0.2972,0.7045707915273131,0.341816367265469,0.0715758138127312,0.5670356197912648,592000.0
"Human Resources Assistants, Except Payroll and Timekeeping",0.4046,0.6309921962095874,0.2724550898203592,0.069557632560965,0.4473245137523113,102770.0
Astronomers,0.3849,0.7769332117158203,0.2320359281437125,0.0693883936292814,0.7311969242978132,1930.0
Instructional Coordinators,0.3043,0.7403466099118271,0.2974051896207584,0.0670016637445692,0.6355254701953993,184740.0
Financial Risk Specialists,0.2649,,,0.066225,0.4955592619048432,54320.0
"Secondary School Teachers, Except Special and Career/Technical Education",0.2901,0.6083916083916083,0.3702594810379241,0.0653487270214815,0.5553449154586373,1020240.0
Retail Salespersons,0.3222,0.3776223776223776,0.5249500998003991,0.0638706419329173,0.3191027710608222,3693490.0
Computer Network Support Specialists,0.2867,0.5742373568460521,0.3837325349301397,0.0631753646755338,0.5382233542901925,176200.0
"Interviewers, Except Eligibility and Loan",0.3851,0.6662612749569268,0.246007984031936,0.0631200438992289,0.4229968470757407,169840.0
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3565,0.3694131955001518,0.4765469061876247,0.0627592280474016,0.4640794139570301,9430.0
"Geological Technicians, Except Hydrologic Technicians",0.229,0.5198135198135198,0.5244510978043913,0.0624292405864262,0.4588768433261964,9210.0
Real Estate Sales Agents,0.2828,0.6244045809263197,0.3373253493013971,0.0595654551240075,0.4953702247671862,175920.0
Public Relations Managers,0.2315,,,0.057875,0.5226200851472989,59850.0
Desktop Publishers,0.464,0.4650856389986822,0.2649700598802395,0.057180469101323,0.4470497320531936,7600.0
Physicists,0.2727,0.85578189926016,0.2435129740518961,0.0568290425533851,0.7624888579019169,20020.0
Computer Systems Analysts,0.2763,0.7548393635350156,0.2684630738522953,0.0559912267893522,0.5281208245176849,505150.0
First-Line Supervisors of Retail Sales Workers,0.2627,0.4536333231985404,0.464570858283433,0.0553626648193427,0.3454349603324013,1143260.0
"Mathematical Science Occupations, All Other",0.4793,0.7677105503192462,0.1487025948103792,0.0547171520443454,0.5749234021459969,3970.0
Medical Transcriptionists,0.6365,0.3892773892773892,0.2135728542914171,0.0529180264180264,0.4119052196294537,55830.0
Medical Secretaries and Administrative Assistants,0.3623,0.4876862268166612,0.2959081836327344,0.0522836381963952,0.3659065184421138,656640.0
First-Line Supervisors of Non-Retail Sales Workers,0.2295,0.6841998581129016,0.3303393213572854,0.0518711578060055,0.5605668188475882,243920.0
Executive Secretaries and Executive Administrative Assistants,0.2336,0.5755548799027057,0.3832335329341317,0.0515256028532779,0.4766511871103709,466910.0
Computer and Information Research Scientists,0.3404,0.8228438228438226,0.1836327345309381,0.0514348012599509,0.729201758052871,30840.0
"Computer Occupations, All Other",0.3106,0.7023749197662241,0.2356121091151031,0.0514005840547995,0.5933731868698242,370190.0
Film and Video Editors,0.2234,0.6392013783318127,0.3597804391217564,0.051375778887143,0.554239558266909,28030.0
Training and Development Managers,0.3777,0.7435897435897435,0.1806387225548902,0.0507330799938584,0.6541685970088598,35830.0
Interpreters and Translators,0.4304,0.509780074997466,0.2270459081836326,0.0498159938357803,0.5230893735492561,52170.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,0.3761021587108541,0.2854291417165668,0.0486083138071682,0.3796493067285034,1825980.0
"Chemistry Teachers, Postsecondary",0.2185,0.6233911016519712,0.341317365269461,0.0464911645240986,0.6281326120676244,20260.0
Librarians and Media Collections Specialists,0.2032,0.5489003749873312,0.4116766467065867,0.0459169954405569,0.6071073161721745,127790.0
"Office Clerks, General",0.4504,0.3353602918820309,0.3028942115768462,0.0457510425181864,0.3386623576649143,2578180.0
Public Relations Specialists,0.453,0.6228843620147969,0.153692614770459,0.0433669250128505,0.590107607842683,242710.0
