Title,ai_exposure,JQI,trapped_index,employment
Fiberglass Laminators and Fabricators,0.0,0.1529527974094442,0.8470472025905558,17380.0
"Roof Bolters, Mining",0.0,0.1600792400432713,0.8399207599567287,1850.0
Tire Builders,0.0,0.1656082160221507,0.8343917839778493,17240.0
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0,0.1687606632428885,0.8312393367571115,18210.0
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,0.1707911064014506,0.8292088935985493,179630.0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.0,0.1752103469972055,0.8247896530027945,22160.0
Cement Masons and Concrete Finishers,0.0,0.1766686898517901,0.8233313101482098,186600.0
"Grinding and Polishing Workers, Hand",0.0,0.1771964834282681,0.8228035165717318,15680.0
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.0,0.1784190254730248,0.8215809745269752,14540.0
"Meat, Poultry, and Fish Cutters and Trimmers",0.0,0.1809218800683293,0.8190781199316706,132100.0
Slaughterers and Meat Packers,0.0,0.1852272739463702,0.8147727260536297,86450.0
Landscaping and Groundskeeping Workers,0.0,0.1870894580044821,0.8129105419955179,892450.0
Terrazzo Workers and Finishers,0.0,0.1903450989076834,0.8096549010923166,2640.0
"Textile Cutting Machine Setters, Operators, and Tenders",0.0152,0.1912355274950757,0.8087644725049243,11970.0
"Rock Splitters, Quarry",0.0,0.1915545803239797,0.8084454196760202,4450.0
Metal-Refining Furnace Operators and Tenders,0.0,0.1918375463239505,0.8081624536760494,15540.0
"Refractory Materials Repairers, Except Brickmasons",0.0,0.1928439885002182,0.8071560114997818,660.0
Reinforcing Iron and Rebar Workers,0.0,0.1929967519037504,0.8070032480962496,16420.0
Helpers--Production Workers,0.0393,0.1941899519953069,0.8058100480046931,202860.0
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,0.1959848927072746,0.8040151072927254,277200.0
Food Batchmakers,0.0,0.1961524166398025,0.8038475833601975,155240.0
"Mixing and Blending Machine Setters, Operators, and Tenders",0.0,0.1967567300242067,0.8032432699757932,108440.0
"Pressers, Textile, Garment, and Related Materials",0.0,0.198600571657595,0.801399428342405,26910.0
Adhesive Bonding Machine Operators and Tenders,0.0,0.1992312651728239,0.800768734827176,12510.0
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,0.200127617150077,0.799872382849923,59490.0
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.0321,0.2014096470438544,0.7985903529561456,55930.0
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.0,0.2014990931131217,0.7985009068868782,56570.0
Sailors and Marine Oilers,0.0,0.2016635406585384,0.7983364593414616,26610.0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,0.2032278416404637,0.7967721583595363,163210.0
Textile Bleaching and Dyeing Machine Operators and Tenders,0.0211,0.2034697343276155,0.7965302656723845,6240.0
